scenario_id,agent_type,n,task_completion_mean,task_completion_std,goal_completion_mean,goal_completion_std,trace_feasibility_mean,trace_feasibility_std,intention_consistency_mean,intention_consistency_std,judge_face_plausibility_mean,judge_face_plausibility_std,judge_trace_believability_mean,judge_trace_believability_std,face_believability_gap_mean,face_believability_gap_std,impossible_trace_rate_mean,impossible_trace_rate_std,done_state_loop_rate_mean,done_state_loop_rate_std,social_derailment_rate_mean,social_derailment_rate_std,constraint_satisfaction_mean,constraint_satisfaction_std,plan_plausibility_mean,plan_plausibility_std,plausibility_feasibility_gap_mean,plausibility_feasibility_gap_std,travel_efficiency_mean,travel_efficiency_std,budget_consistency_mean,budget_consistency_std,social_appropriateness_mean,social_appropriateness_std,feasibility_violation_mean,feasibility_violation_std,city_false_continue_mean,city_false_continue_std,face_feasibility_gap_mean,face_feasibility_gap_std,route_interruption_count_mean,route_interruption_count_std,verified_replan_count_mean,verified_replan_count_std,llm_calls_mean,llm_calls_std,llm_latency_seconds_mean,llm_latency_seconds_std,llm_total_tokens_mean,llm_total_tokens_std,judge_rationale_alignment_mean,judge_rationale_alignment_std,judge_urban_common_sense_mean,judge_urban_common_sense_std
social_copresence_open_meet,gatsim_official_planner,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.823,0.084,0.54,0.173,0.283,0.145,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.833,0.289,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.45,4.919,10106.333,327.65,0.807,0.223,0.627,0.311
social_copresence_open_meet,generative_agents_official_planner,3,0.0,0.0,0.3,0.173,0.88,0.125,0.276,0.194,0.827,0.042,0.437,0.153,0.39,0.121,0.12,0.125,0.0,0.0,0.333,0.577,0.6,0.346,1.0,0.0,0.12,0.125,0.893,0.0,1.0,0.0,0.0,0.0,0.12,0.125,0.0,0.0,0.037,0.064,0.0,0.0,0.0,0.0,2.333,1.155,30.818,10.821,17208.667,7853.854,0.55,0.43,0.663,0.191
social_copresence_open_meet,sotopia_official_llm_agent,3,0.667,0.577,0.533,0.289,0.671,0.154,0.387,0.25,0.813,0.031,0.553,0.202,0.26,0.225,0.329,0.154,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.0,0.329,0.154,0.951,0.043,1.0,0.0,0.667,0.577,0.329,0.154,0.0,0.0,0.149,0.161,0.0,0.0,0.0,0.0,8.0,2.0,60.439,3.317,63594.333,16588.203,0.777,0.179,0.737,0.047
social_copresence_two_party,agentsociety_official_plan_blocks,3,0.667,0.577,0.8,0.346,1.0,0.0,0.8,0.346,0.61,0.46,0.483,0.422,0.127,0.081,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.667,0.577,0.0,0.0,1.0,0.0,1.0,0.0,0.667,0.577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,29.249,3.285,17394.333,592.339,0.697,0.43,0.547,0.457
social_copresence_two_party,api_llm_plan_and_execute,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.893,0.064,0.767,0.196,0.127,0.133,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.088,1.138,8590.0,215.27,0.907,0.118,0.84,0.113
social_copresence_two_party,api_llm_react_tool_policy,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.913,0.032,0.82,0.087,0.093,0.057,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,57.686,11.479,72767.667,237.119,0.96,0.01,0.86,0.035
social_copresence_two_party,gatsim_official_planner,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8,0.209,0.43,0.02,0.37,0.193,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.949,11.63,10821.667,410.013,0.643,0.283,0.627,0.15
social_copresence_two_party,generative_agents_official_planner,3,0.833,0.289,0.9,0.173,1.0,0.0,0.9,0.173,0.807,0.076,0.57,0.145,0.237,0.093,0.0,0.0,0.0,0.0,0.333,0.577,1.0,0.0,1.0,0.0,0.0,0.0,0.926,0.011,1.0,0.0,0.833,0.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.421,4.606,8010.0,206.31,0.697,0.447,0.663,0.104
social_copresence_two_party,sotopia_official_llm_agent,3,0.833,0.289,0.7,0.173,0.798,0.14,0.574,0.221,0.68,0.106,0.37,0.078,0.31,0.114,0.202,0.14,0.333,0.577,0.333,0.577,0.5,0.0,1.0,0.0,0.202,0.14,0.952,0.011,1.0,0.0,0.833,0.289,0.202,0.14,0.333,0.577,0.026,0.044,0.0,0.0,0.0,0.0,13.333,0.577,107.684,25.759,109053.0,7910.066,0.627,0.234,0.523,0.132
social_copresence_with_errand,agentsociety_official_plan_blocks,3,0.806,0.337,0.683,0.202,0.895,0.018,0.614,0.19,0.62,0.255,0.32,0.1,0.3,0.203,0.105,0.018,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.105,0.018,0.874,0.109,1.0,0.0,0.667,0.577,0.105,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,59.229,9.403,33916.0,750.045,0.653,0.329,0.58,0.243
social_copresence_with_errand,api_llm_plan_and_execute,3,1.0,0.0,0.6,0.0,0.874,0.016,0.524,0.01,0.683,0.064,0.213,0.058,0.47,0.061,0.126,0.016,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.126,0.016,1.0,0.0,0.0,0.0,1.0,0.0,0.126,0.016,0.333,0.577,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.534,4.83,10217.667,953.212,0.777,0.035,0.43,0.115
social_copresence_with_errand,api_llm_react_tool_policy,3,1.0,0.0,0.6,0.0,0.857,0.0,0.514,0.0,0.58,0.223,0.233,0.05,0.347,0.172,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.143,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.143,0.0,0.333,0.577,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,55.733,12.968,72674.667,356.099,0.583,0.035,0.41,0.171
social_copresence_with_errand,gatsim_official_planner,3,0.806,0.337,0.483,0.202,0.889,0.028,0.428,0.176,0.603,0.25,0.173,0.05,0.43,0.2,0.111,0.028,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.111,0.028,0.692,0.269,0.0,0.0,0.667,0.577,0.111,0.028,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,30.246,2.073,22118.333,147.555,0.52,0.333,0.25,0.089
social_copresence_with_errand,generative_agents_official_planner,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.827,0.042,0.347,0.145,0.48,0.174,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.939,0.053,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.367,9.714,7763.333,134.039,0.617,0.362,0.757,0.068
social_copresence_with_errand,sotopia_official_llm_agent,3,0.667,0.3,0.667,0.189,0.889,0.127,0.607,0.233,0.643,0.178,0.38,0.125,0.263,0.111,0.111,0.127,0.0,0.0,0.333,0.577,0.667,0.289,1.0,0.0,0.111,0.127,0.937,0.109,1.0,0.0,0.667,0.577,0.111,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.333,2.887,92.249,37.935,82458.333,23806.462,0.313,0.231,0.57,0.056
