repeat,fold,branch,control_set,train_images,test_images,accuracy,balanced_accuracy
7,3,random,3,75,22,0.45454545454545453,0.6458333333333333
7,3,random,4,75,22,0.6363636363636364,0.6493055555555556
7,3,random,5,75,22,0.5,0.41666666666666663
7,3,random,6,75,22,0.36363636363636365,0.3888888888888889
7,3,random,7,75,22,0.5,0.625
8,0,official,-1,72,25,0.84,0.8569444444444445
8,0,random,0,72,25,0.48,0.48888888888888893
8,0,random,1,72,25,0.56,0.5388888888888889
8,0,random,2,72,25,0.48,0.44861111111111107
8,0,random,3,72,25,0.56,0.5638888888888889
8,0,random,4,72,25,0.6,0.5611111111111111
8,0,random,5,72,25,0.36,0.33611111111111114
8,0,random,6,72,25,0.44,0.4236111111111111
8,0,random,7,72,25,0.44,0.5611111111111111
8,1,official,-1,72,25,0.56,0.6013888888888889
8,1,random,0,72,25,0.32,0.35138888888888886
8,1,random,1,72,25,0.36,0.3333333333333333
8,1,random,2,72,25,0.24,0.15833333333333333
8,1,random,3,72,25,0.4,0.4583333333333333
8,1,random,4,72,25,0.32,0.3111111111111111
8,1,random,5,72,25,0.36,0.3388888888888889
8,1,random,6,72,25,0.36,0.3680555555555556
8,1,random,7,72,25,0.36,0.4361111111111111
8,2,official,-1,72,25,0.8,0.7375
8,2,random,0,72,25,0.48,0.5666666666666667
8,2,random,1,72,25,0.48,0.5236111111111111
8,2,random,2,72,25,0.36,0.33611111111111114
8,2,random,3,72,25,0.4,0.4013888888888889
8,2,random,4,72,25,0.44,0.3888888888888889
8,2,random,5,72,25,0.4,0.36388888888888893
8,2,random,6,72,25,0.4,0.26666666666666666
8,2,random,7,72,25,0.44,0.42916666666666664
8,3,official,-1,75,22,0.9090909090909091,0.9444444444444444
8,3,random,0,75,22,0.6363636363636364,0.7187499999999999
8,3,random,1,75,22,0.6363636363636364,0.7673611111111112
8,3,random,2,75,22,0.5454545454545454,0.4513888888888889
8,3,random,3,75,22,0.5454545454545454,0.65625
8,3,random,4,75,22,0.6818181818181818,0.6840277777777778
8,3,random,5,75,22,0.5909090909090909,0.5763888888888888
8,3,random,6,75,22,0.5909090909090909,0.5798611111111112
8,3,random,7,75,22,0.5909090909090909,0.5763888888888888
9,0,official,-1,72,25,0.72,0.7444444444444445
9,0,random,0,72,25,0.6,0.5041666666666667
9,0,random,1,72,25,0.44,0.3263888888888889
9,0,random,2,72,25,0.36,0.2763888888888889
9,0,random,3,72,25,0.48,0.5888888888888889
9,0,random,4,72,25,0.36,0.33611111111111114
9,0,random,5,72,25,0.48,0.48888888888888893
9,0,random,6,72,25,0.4,0.39861111111111114
9,0,random,7,72,25,0.48,0.5166666666666666
9,1,official,-1,72,25,0.6,0.5236111111111111
9,1,random,0,72,25,0.52,0.6166666666666667
9,1,random,1,72,25,0.48,0.4861111111111111
9,1,random,2,72,25,0.36,0.4083333333333333
9,1,random,3,72,25,0.52,0.4388888888888889
9,1,random,4,72,25,0.6,0.5263888888888889
9,1,random,5,72,25,0.56,0.4666666666666667
9,1,random,6,72,25,0.4,0.30416666666666664
9,1,random,7,72,25,0.52,0.4361111111111111
9,2,official,-1,72,25,0.88,0.925
9,2,random,0,72,25,0.6,0.7041666666666666
