label,repeat,method,split_seed,positive_count,sampled_count_total,pool_count_total,train_positive,train_reliable_negative,train_sampled,train_full_pool,eval_positive,eval_reliable_negative,sampling_probability_min,sampling_probability_median,sampling_probability_max,ipw_ess,roc_auc,average_precision,eval_positive_mean_score,full_pool_mean_score
Pinnacle,0,PN-sampled,20261568,11,27,1136,9,54,25,898,2,25,0.013062209822237492,0.036545056849718094,0.06000831350684166,20.53268051147461,1.0,1.0,0.6064007878303528,0.31278926134109497
Pinnacle,0,Ignore,20261568,11,27,1136,9,54,25,898,2,25,0.013062209822237492,0.036545056849718094,0.06000831350684166,20.53268051147461,1.0,1.0,0.5713077783584595,0.3798340857028961
Pinnacle,0,nnPU-sampled,20261568,11,27,1136,9,54,25,898,2,25,0.013062209822237492,0.036545056849718094,0.06000831350684166,20.53268051147461,0.72,0.23809523809523808,0.1564064919948578,0.09645964205265045
Pinnacle,0,IPW-nnPU,20261568,11,27,1136,9,54,25,898,2,25,0.013062209822237492,0.036545056849718094,0.06000831350684166,20.53268051147461,0.74,0.24358974358974358,0.23388513922691345,0.10358491539955139
Pinnacle,0,FullPool-nnPU,20261568,11,27,1136,9,54,25,898,2,25,0.013062209822237492,0.036545056849718094,0.06000831350684166,20.53268051147461,0.76,0.5714285714285714,0.23647616803646088,0.08238551765680313
Pointed Arch Window,0,PN-sampled,20262623,11,26,1122,9,54,25,934,2,37,0.013518557883799076,0.031618382781744,0.07961222529411316,20.44032859802246,0.9324324324324323,0.3666666666666667,0.540648341178894,0.33664369583129883
Pointed Arch Window,0,Ignore,20262623,11,26,1122,9,54,25,934,2,37,0.013518557883799076,0.031618382781744,0.07961222529411316,20.44032859802246,0.9459459459459459,0.41666666666666663,0.5262720584869385,0.4108024835586548
Pointed Arch Window,0,nnPU-sampled,20262623,11,26,1122,9,54,25,934,2,37,0.013518557883799076,0.031618382781744,0.07961222529411316,20.44032859802246,0.8648648648648649,0.34090909090909094,0.7619137763977051,0.36204051971435547
Pointed Arch Window,0,IPW-nnPU,20262623,11,26,1122,9,54,25,934,2,37,0.013518557883799076,0.031618382781744,0.07961222529411316,20.44032859802246,0.8378378378378379,0.2159090909090909,0.5974905490875244,0.29194176197052
Pointed Arch Window,0,FullPool-nnPU,20262623,11,26,1122,9,54,25,934,2,37,0.013518557883799076,0.031618382781744,0.07961222529411316,20.44032859802246,0.7972972972972973,0.3125,0.6369936466217041,0.25067514181137085
Round Arch Window,0,PN-sampled,20262420,9,19,1070,7,42,16,846,2,28,0.015129391103982925,0.024685945361852646,0.08033383637666702,13.35317611694336,0.7678571428571429,0.24358974358974358,0.48547664284706116,0.39934682846069336
Round Arch Window,0,Ignore,20262420,9,19,1070,7,42,16,846,2,28,0.015129391103982925,0.024685945361852646,0.08033383637666702,13.35317611694336,0.8035714285714286,0.5769230769230769,0.48482584953308105,0.4670330882072449
Round Arch Window,0,nnPU-sampled,20262420,9,19,1070,7,42,16,846,2,28,0.015129391103982925,0.024685945361852646,0.08033383637666702,13.35317611694336,0.5178571428571428,0.1,0.3309299647808075,0.1818154752254486
Round Arch Window,0,IPW-nnPU,20262420,9,19,1070,7,42,16,846,2,28,0.015129391103982925,0.024685945361852646,0.08033383637666702,13.35317611694336,0.5535714285714286,0.10416666666666666,0.3485616147518158,0.17690004408359528
Round Arch Window,0,FullPool-nnPU,20262420,9,19,1070,7,42,16,846,2,28,0.015129391103982925,0.024685945361852646,0.08033383637666702,13.35317611694336,0.5,0.09429824561403508,0.4396594166755676,0.16656607389450073
Tracery,0,PN-sampled,20261488,8,16,852,6,36,10,626,2,29,0.017188601195812225,0.03214816376566887,0.05280967056751251,8.851530075073242,0.9482758620689655,0.7,0.5268205404281616,0.3922140896320343
Tracery,0,Ignore,20261488,8,16,852,6,36,10,626,2,29,0.017188601195812225,0.03214816376566887,0.05280967056751251,8.851530075073242,0.9137931034482758,0.41666666666666663,0.5090981721878052,0.4330780804157257
Tracery,0,nnPU-sampled,20261488,8,16,852,6,36,10,626,2,29,0.017188601195812225,0.03214816376566887,0.05280967056751251,8.851530075073242,0.9482758620689655,0.5,0.5575660467147827,0.218501478433609
