scenario_id,agent_type,display_name,agent_family,source_archive,n_repeats,accepted_copresence_outcomes,required_copresence_outcomes,accepted_over_required,copresence_outcome_rate,social_pass_k,mean_task_completion,mean_trace_feasibility
social_copresence_event_window,generative_agents_official_planner,Generative Agents adapted planner,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,3,0,3,0/3,0.0,0.0,0.0,0.36933333333333335
social_copresence_event_window,sotopia_official_llm_agent,SOTOPIA-style LLMAgent adapter,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,3,0,3,0/3,0.0,0.0,0.0,0.8333333333333334
social_copresence_message_gated,api_llm_react_tool_policy,ReAct-style tool-use policy,paper_backed_execution_baseline,6-city/results/cityintent_v1_rc1/paper_backed_baselines_2x6socialx3_gpt54mini_2026-07-07,3,3,3,3/3,1.0,1.0,1.0,1.0
social_copresence_message_gated,api_llm_plan_and_execute,Plan-and-Execute policy,paper_backed_execution_baseline,6-city/results/cityintent_v1_rc1/paper_backed_baselines_2x6socialx3_gpt54mini_2026-07-07,3,3,3,3/3,1.0,1.0,1.0,1.0
social_copresence_message_gated,gatsim_official_planner,GATSim adapted planner,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,3,0,3,0/3,0.0,0.0,0.0,0.6056666666666667
social_copresence_message_gated,agentsociety_official_plan_blocks,AgentSociety plan-block adapter,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,3,0,3,0/3,0.0,0.0,0.308,0.6666666666666666
social_copresence_message_gated,generative_agents_official_planner,Generative Agents adapted planner,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,3,0,3,0/3,0.0,0.0,0.308,0.8333333333333334
social_copresence_message_gated,sotopia_official_llm_agent,SOTOPIA-style LLMAgent adapter,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,3,0,3,0/3,0.0,0.0,0.308,1.0
social_copresence_open_meet,api_llm_react_tool_policy,ReAct-style tool-use policy,paper_backed_execution_baseline,6-city/results/cityintent_v1_rc1/paper_backed_baselines_2x6socialx3_gpt54mini_2026-07-07,3,3,3,3/3,1.0,1.0,1.0,1.0
social_copresence_open_meet,api_llm_plan_and_execute,Plan-and-Execute policy,paper_backed_execution_baseline,6-city/results/cityintent_v1_rc1/paper_backed_baselines_2x6socialx3_gpt54mini_2026-07-07,3,3,3,3/3,1.0,1.0,1.0,1.0
social_copresence_open_meet,gatsim_official_planner,GATSim adapted planner,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,3,3,3,3/3,1.0,1.0,1.0,1.0
social_copresence_open_meet,agentsociety_official_plan_blocks,AgentSociety plan-block adapter,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,3,1,3,1/3,0.3333333333333333,0.0,0.3333333333333333,0.6416666666666667
social_copresence_open_meet,generative_agents_official_planner,Generative Agents adapted planner,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,3,0,3,0/3,0.0,0.0,0.0,0.7370000000000001
social_copresence_open_meet,sotopia_official_llm_agent,SOTOPIA-style LLMAgent adapter,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,3,0,3,0/3,0.0,0.0,0.0,0.8796666666666667
