entropy_run,num_visited_locations,rho_h1_run,tar_h1_run,bsr_h1_run,rho_h2_run,tar_h2_run,bsr_h2_run,rho_h3_run,tar_h3_run,bsr_h3_run,window_start,window_end,window_index,seed,condition
0.8782012172110545,15.0,0.7372294450013864,0.94438280662906,0.94438280662906,0.8320730805599822,1.1948372770725861,1.1948372770725861,0.5145737504573041,0.5689309777623246,0.5689309777623246,1,50,0,8,C4
0.8825499153661884,15.0,0.505189898416068,0.5562501458869079,0.5562501458869079,0.9056819700120746,1.5029614217334422,1.5029614217334422,0.5163450939073368,0.5713432631666903,0.5713432631666903,51,100,1,8,C4
0.901291404939494,15.0,0.7057628123774446,0.8786907421254612,0.8786907421254612,0.8714618515473092,1.3391247039252854,1.3391247039252854,0.5071763905747807,0.558920959731943,0.558920959731943,101,150,2,8,C4
0.920906355316987,15.0,0.33276899443703356,0.345938843266031,0.345938843266031,0.660052785669061,0.7929071629256489,0.7929071629256489,-0.019487094073848927,-0.01948956135680791,0.01948956135680791,1,50,0,9,C1
0.84880236369939,15.0,0.04986261884073301,0.04990400475307988,0.04990400475307988,0.6108685483134584,0.7103057874547374,0.7103057874547374,0.42245572895928607,0.45067747212535203,0.45067747212535203,51,100,1,9,C1
0.8459831317305864,15.0,-0.031046536259324325,-0.03105651715408227,0.03105651715408227,0.5599945457672411,0.6328252405576998,0.6328252405576998,0.3789157181026181,0.39879298271620717,0.39879298271620717,101,150,2,9,C1
0.9459968855352926,15.0,0.519481413532689,0.5756292355717265,0.5756292355717265,0.8253617680720647,1.1734084436788002,1.1734084436788002,0.5703239082042418,0.6480027690406782,0.6480027690406782,1,50,0,9,C6m
0.9057073962095841,15.0,0.36363698947288225,0.3810707472257209,0.3810707472257209,0.7809312735098375,1.0477530968306001,1.0477530968306001,0.6116782306513692,0.7115984979890505,0.7115984979890505,51,100,1,9,C6m
0.8516951161824171,15.0,0.4064296593710289,0.4313269451050893,0.4313269451050893,0.8137570064596051,1.1380517145913471,1.1380517145913471,0.46754161500386227,0.5069195823831958,0.5069195823831958,101,150,2,9,C6m
0.8073518986712629,15.0,0.5680013037351131,0.6445672310197629,0.6445672310197629,0.7136832774782071,0.8946508384974062,0.8946508384974062,0.6175711232068903,0.7210691517632919,0.7210691517632919,1,50,0,9,C4
0.8774647145563526,14.0,0.8209741997780586,1.1597984903467273,1.1597984903467273,0.7760500776515745,1.0353623270567198,1.0353623270567198,0.6568114802713848,0.7871851614304214,0.7871851614304214,51,100,1,9,C4
0.8512451020897046,15.0,0.7639329528051925,1.0055926821350685,1.0055926821350685,0.8069623159601655,1.118258505980068,1.118258505980068,0.6301260378126045,0.7416251548766524,0.7416251548766524,101,150,2,9,C4
0.8750410318282031,15.0,0.4120532835241639,0.43808191399696866,0.43808191399696866,0.7013404270374863,0.8699336665308035,0.8699336665308035,,,,1,50,0,10,C1
0.8361656171315371,13.0,0.3470673417956214,0.36210558595202086,0.36210558595202086,0.5714658928688455,0.6496969105041484,0.6496969105041484,0.2546267270239763,0.2603541241025929,0.2603541241025929,51,100,1,10,C1
0.742696497564704,14.0,-0.18448430722056322,-0.186621055027382,0.186621055027382,0.5390091339531599,0.6027579196803153,0.6027579196803153,0.23462229017640046,0.23907545703045235,0.23907545703045235,101,150,2,10,C1
0.9461280070942258,15.0,0.825128412274149,1.1726768531414706,1.1726768531414706,0.862560634293936,1.3032623309423805,1.3032623309423805,0.6434325717995281,0.7640095018411425,0.7640095018411425,1,50,0,10,C6m
0.8684419205560421,15.0,0.8423525454806973,1.2292186759075312,1.2292186759075312,0.7968890044185198,1.0900297559205663,1.0900297559205663,0.5145737504573041,0.5689309777623246,0.5689309777623246,51,100,1,10,C6m
0.7646876911259255,14.0,0.51461436874216,0.5689862262309927,0.5689862262309927,0.8392638260465565,1.2186781631030659,1.2186781631030659,0.5920586402617903,0.6808298810592619,0.6808298810592619,101,150,2,10,C6m
0.7867287184708687,15.0,0.6049286418330987,0.7008840862431764,0.7008840862431764,0.8221338222144426,1.1633660328761732,1.1633660328761732,0.4744502802158136,0.5157978539223642,0.5157978539223642,1,50,0,10,C4
0.7965679463223855,14.0,0.6531115726797064,0.7807056997418816,0.7807056997418816,0.7156013580755852,0.8985710107795993,0.8985710107795993,0.6294478695349173,0.7405011841119888,0.7405011841119888,51,100,1,10,C4
0.6980156869026277,15.0,0.5714677511079984,0.6496996698868566,0.6496996698868566,0.7310982707815047,0.9310826653513917,0.9310826653513917,0.6058169839229325,0.7022863105244367,0.7022863105244367,101,150,2,10,C4
