label,repeat,method,split_seed,positive_count,unlabeled_count,train_positive,train_reliable_negative,train_unlabeled,eval_positive,eval_reliable_negative,roc_auc,average_precision,eval_positive_mean_score,unlabeled_mean_score,unlabeled_above_rn95_rate
Buttress,29,nnPU(pi=0.10),20290879,10,30,8,48,24,2,31,0.4032258064516129,0.08333333333333334,0.49382489919662476,0.20028550922870636,0.0
Buttress,29,nnPU(pi=0.25),20290879,10,30,8,48,24,2,31,0.467741935483871,0.10591133004926108,0.6724897623062134,0.39435216784477234,0.0
Buttress,29,nnPU(pi=0.50),20290879,10,30,8,48,24,2,31,0.5645161290322581,0.2037037037037037,0.9168208837509155,0.798698902130127,0.0
Pilaster,0,PN,20261594,11,33,9,54,27,2,27,1.0,1.0,0.6314836740493774,0.2831037938594818,0.0
Pilaster,0,Ignore,20261594,11,33,9,54,27,2,27,1.0,1.0,0.5810177326202393,0.36551856994628906,0.0
Pilaster,0,nnPU(pi=0.10),20261594,11,33,9,54,27,2,27,1.0,1.0,0.9379433393478394,0.2008146047592163,0.0
Pilaster,0,nnPU(pi=0.25),20261594,11,33,9,54,27,2,27,1.0,1.0,0.9607695937156677,0.49897676706314087,0.0
Pilaster,0,nnPU(pi=0.50),20261594,11,33,9,54,27,2,27,1.0,1.0,0.9710888862609863,0.8159958720207214,0.0
Pilaster,1,PN,20262603,11,33,9,54,27,2,24,1.0,1.0,0.6969214677810669,0.2964429557323456,0.0
Pilaster,1,Ignore,20262603,11,33,9,54,27,2,24,1.0,1.0,0.6488485336303711,0.395860880613327,0.0
Pilaster,1,nnPU(pi=0.10),20262603,11,33,9,54,27,2,24,0.9583333333333333,0.75,0.8911204934120178,0.1972821056842804,0.0
Pilaster,1,nnPU(pi=0.25),20262603,11,33,9,54,27,2,24,0.9583333333333333,0.75,0.9245543479919434,0.45724257826805115,0.0
Pilaster,1,nnPU(pi=0.50),20262603,11,33,9,54,27,2,24,0.9166666666666667,0.6666666666666666,0.9684550762176514,0.8146384954452515,0.0
Pilaster,2,PN,20263612,11,33,9,54,27,2,26,0.75,0.5666666666666667,0.5827454924583435,0.25634846091270447,0.0
Pilaster,2,Ignore,20263612,11,33,9,54,27,2,26,0.7692307692307692,0.5714285714285714,0.5670005679130554,0.32781386375427246,0.0
Pilaster,2,nnPU(pi=0.10),20263612,11,33,9,54,27,2,26,0.6730769230769231,0.5526315789473684,0.7434841990470886,0.20413856208324432,0.0
Pilaster,2,nnPU(pi=0.25),20263612,11,33,9,54,27,2,26,0.7692307692307692,0.5714285714285714,0.8797341585159302,0.4740877151489258,0.0
Pilaster,2,nnPU(pi=0.50),20263612,11,33,9,54,27,2,26,0.7884615384615384,0.5769230769230769,0.9708590507507324,0.8572657704353333,0.0
Pilaster,3,PN,20264621,11,33,9,54,27,2,40,0.7375,0.29545454545454547,0.5355222821235657,0.2512812316417694,0.0
Pilaster,3,Ignore,20264621,11,33,9,54,27,2,40,0.8,0.5555555555555556,0.5406336784362793,0.3352296054363251,0.0
Pilaster,3,nnPU(pi=0.10),20264621,11,33,9,54,27,2,40,0.6625,0.11490683229813664,0.6749537587165833,0.19085343182086945,0.0
Pilaster,3,nnPU(pi=0.25),20264621,11,33,9,54,27,2,40,0.7,0.14545454545454545,0.8088556528091431,0.40352973341941833,0.0
Pilaster,3,nnPU(pi=0.50),20264621,11,33,9,54,27,2,40,0.8375,0.24358974358974358,0.9697642922401428,0.8544559478759766,0.0
Pilaster,4,PN,20265630,11,33,9,54,27,2,28,0.7857142857142857,0.5714285714285714,0.4983943700790405,0.24491821229457855,0.0
Pilaster,4,Ignore,20265630,11,33,9,54,27,2,28,0.8392857142857143,0.5909090909090909,0.508175790309906,0.3266579806804657,0.0
Pilaster,4,nnPU(pi=0.10),20265630,11,33,9,54,27,2,28,0.5535714285714286,0.14347826086956522,0.5011016130447388,0.12583744525909424,0.0
Pilaster,4,nnPU(pi=0.25),20265630,11,33,9,54,27,2,28,0.7142857142857143,0.22916666666666666,0.8503421545028687,0.4939855635166168,0.0
Pilaster,4,nnPU(pi=0.50),20265630,11,33,9,54,27,2,28,0.8035714285714286,0.225,0.9648255109786987,0.8501117825508118,0.0
Pilaster,5,PN,20266639,11,33,9,54,27,2,29,1.0,1.0,0.7002697587013245,0.30425435304641724,0.0
Pilaster,5,Ignore,20266639,11,33,9,54,27,2,29,1.0,1.0,0.6481419801712036,0.40533292293548584,0.0
Pilaster,5,nnPU(pi=0.10),20266639,11,33,9,54,27,2,29,1.0,1.0,0.9595481157302856,0.19913142919540405,0.0
Pilaster,5,nnPU(pi=0.25),20266639,11,33,9,54,27,2,29,1.0,1.0,0.973972737789154,0.4681745171546936,0.0
Pilaster,5,nnPU(pi=0.50),20266639,11,33,9,54,27,2,29,1.0,1.0,0.9816733598709106,0.8065489530563354,0.0
Pilaster,6,PN,20267648,11,33,9,54,27,2,34,0.7794117647058824,0.5588235294117647,0.5427614450454712,0.26895156502723694,0.0
Pilaster,6,Ignore,20267648,11,33,9,54,27,2,34,0.8529411764705882,0.5833333333333334,0.5426648855209351,0.36212292313575745,0.0
Pilaster,6,nnPU(pi=0.10),20267648,11,33,9,54,27,2,34,0.6764705882352942,0.5416666666666666,0.6996062994003296,0.2027214616537094,0.0
Pilaster,6,nnPU(pi=0.25),20267648,11,33,9,54,27,2,34,0.7352941176470589,0.55,0.8839536905288696,0.5048195719718933,0.0
Pilaster,6,nnPU(pi=0.50),20267648,11,33,9,54,27,2,34,0.8235294117647058,0.5714285714285714,0.9718483686447144,0.851714551448822,0.0
