timestamp, utilization.gpu [%], memory.used [MiB], temperature.gpu, power.draw [W]
2026/07/26 05:28:14.946, 99 %, 692 MiB, 67, 100.53 W
2026/07/26 05:28:19.950, 99 %, 692 MiB, 67, 100.91 W
2026/07/26 05:28:24.955, 99 %, 692 MiB, 67, 100.97 W
2026/07/26 05:28:29.960, 99 %, 692 MiB, 67, 100.57 W
2026/07/26 05:28:34.964, 99 %, 692 MiB, 67, 100.69 W
2026/07/26 05:28:39.968, 99 %, 692 MiB, 67, 100.68 W
2026/07/26 05:28:44.972, 99 %, 692 MiB, 67, 100.43 W
2026/07/26 05:28:49.976, 99 %, 692 MiB, 67, 100.93 W
2026/07/26 05:28:54.979, 100 %, 692 MiB, 67, 101.00 W
2026/07/26 05:28:59.983, 100 %, 692 MiB, 67, 100.74 W
2026/07/26 05:29:04.986, 99 %, 692 MiB, 67, 100.94 W
2026/07/26 05:29:09.991, 99 %, 692 MiB, 67, 100.59 W
2026/07/26 05:29:14.994, 99 %, 692 MiB, 67, 100.64 W
2026/07/26 05:29:20.014, 99 %, 692 MiB, 67, 100.31 W
2026/07/26 05:29:25.018, 100 %, 692 MiB, 67, 100.23 W
2026/07/26 05:29:30.021, 99 %, 692 MiB, 67, 101.02 W
2026/07/26 05:29:35.034, 99 %, 692 MiB, 67, 100.90 W
2026/07/26 05:29:40.040, 99 %, 522 MiB, 67, 95.68 W
2026/07/26 05:29:45.043, 36 %, 182 MiB, 65, 76.45 W
