label,repeat,method,split_seed,positive_count,unlabeled_count,train_positive,train_reliable_negative,train_unlabeled,eval_positive,eval_reliable_negative,roc_auc,average_precision,eval_positive_mean_score,unlabeled_mean_score,unlabeled_above_rn95_rate,propensity_floor,propensity_min,propensity_median,propensity_max,positive_weight_ess
Round Arch Window,23,"SA-nnPU(pi=0.25,e>=0.10)",20285627,9,27,7,42,21,2,43,0.4418604651162791,0.05745341614906832,0.8189677000045776,0.44275033473968506,0.0,0.1,0.45713418599817746,0.8023078471551376,0.9132391144734743,6.563922882080078
Round Arch Window,23,"SA-nnPU(pi=0.25,e>=0.20)",20285627,9,27,7,42,21,2,43,0.4418604651162791,0.05745341614906832,0.8189677000045776,0.44275033473968506,0.0,0.2,0.45713418599817746,0.8023078471551376,0.9132391144734743,6.563922882080078
Round Arch Window,24,PN,20286636,9,27,7,42,21,2,33,0.5303030303030303,0.09555555555555556,0.48021653294563293,0.3759058713912964,0.0,nan,nan,nan,nan,nan
Round Arch Window,24,Ignore,20286636,9,27,7,42,21,2,33,0.5454545454545454,0.10250000000000001,0.4782041609287262,0.4571540057659149,0.09523809523809523,nan,nan,nan,nan,nan
Round Arch Window,24,nnPU(pi=0.10),20286636,9,27,7,42,21,2,33,0.42424242424242425,0.07125603864734299,0.821314811706543,0.22844301164150238,0.0,nan,nan,nan,nan,nan
Round Arch Window,24,nnPU(pi=0.25),20286636,9,27,7,42,21,2,33,0.36363636363636365,0.06481481481481481,0.8551199436187744,0.4508788287639618,0.0,nan,nan,nan,nan,nan
Round Arch Window,24,nnPU(pi=0.50),20286636,9,27,7,42,21,2,33,0.5303030303030303,0.08893280632411067,0.9713927507400513,0.8584628105163574,0.0,nan,nan,nan,nan,nan
Round Arch Window,24,"SA-nnPU(pi=0.25,e>=0.10)",20286636,9,27,7,42,21,2,33,0.3787878787878788,0.06623931623931624,0.8348938226699829,0.40878087282180786,0.0,0.1,0.4885500774328398,0.8067888405880305,0.9089598328326897,6.662858963012695
Round Arch Window,24,"SA-nnPU(pi=0.25,e>=0.20)",20286636,9,27,7,42,21,2,33,0.3787878787878788,0.06623931623931624,0.8348938226699829,0.40878087282180786,0.0,0.2,0.4885500774328398,0.8067888405880305,0.9089598328326897,6.662858963012695
Round Arch Window,25,PN,20287645,9,27,7,42,21,2,32,0.59375,0.11688311688311688,0.4997324049472809,0.3727749288082123,0.0,nan,nan,nan,nan,nan
Round Arch Window,25,Ignore,20287645,9,27,7,42,21,2,32,0.75,0.3088235294117647,0.49971675872802734,0.45917752385139465,0.14285714285714285,nan,nan,nan,nan,nan
Round Arch Window,25,nnPU(pi=0.10),20287645,9,27,7,42,21,2,32,0.359375,0.06666666666666667,0.7605592012405396,0.17101165652275085,0.047619047619047616,nan,nan,nan,nan,nan
Round Arch Window,25,nnPU(pi=0.25),20287645,9,27,7,42,21,2,32,0.3125,0.06272727272727273,0.8291114568710327,0.38513511419296265,0.047619047619047616,nan,nan,nan,nan,nan
Round Arch Window,25,nnPU(pi=0.50),20287645,9,27,7,42,21,2,32,0.3125,0.06340579710144928,0.9324769973754883,0.7684206366539001,0.0,nan,nan,nan,nan,nan
Round Arch Window,25,"SA-nnPU(pi=0.25,e>=0.10)",20287645,9,27,7,42,21,2,32,0.3125,0.06272727272727273,0.8632152080535889,0.39979273080825806,0.047619047619047616,0.1,0.4731078717362668,0.8090365636367031,0.9417125257698068,6.499400615692139
Round Arch Window,25,"SA-nnPU(pi=0.25,e>=0.20)",20287645,9,27,7,42,21,2,32,0.3125,0.06272727272727273,0.8632152080535889,0.39979273080825806,0.047619047619047616,0.2,0.4731078717362668,0.8090365636367031,0.9417125257698068,6.499400615692139
Round Arch Window,26,PN,20288654,9,27,7,42,21,2,28,0.4821428571428571,0.09545454545454546,0.4271432161331177,0.40139561891555786,0.047619047619047616,nan,nan,nan,nan,nan
Round Arch Window,26,Ignore,20288654,9,27,7,42,21,2,28,0.375,0.07681159420289854,0.42371511459350586,0.5038310289382935,0.5238095238095238,nan,nan,nan,nan,nan
Round Arch Window,26,nnPU(pi=0.10),20288654,9,27,7,42,21,2,28,0.6785714285714286,0.55,0.8429867029190063,0.2211102694272995,0.0,nan,nan,nan,nan,nan
Round Arch Window,26,nnPU(pi=0.25),20288654,9,27,7,42,21,2,28,0.5892857142857143,0.14761904761904762,0.8726999759674072,0.4558214545249939,0.0,nan,nan,nan,nan,nan
Round Arch Window,26,nnPU(pi=0.50),20288654,9,27,7,42,21,2,28,0.4821428571428571,0.09307359307359307,0.9394228458404541,0.7984200716018677,0.0,nan,nan,nan,nan,nan
Round Arch Window,26,"SA-nnPU(pi=0.25,e>=0.10)",20288654,9,27,7,42,21,2,28,0.5714285714285714,0.13095238095238093,0.8870587944984436,0.4633755087852478,0.0,0.1,0.46894167717834223,0.8015389001700242,0.9138680201418774,6.625739097595215
Round Arch Window,26,"SA-nnPU(pi=0.25,e>=0.20)",20288654,9,27,7,42,21,2,28,0.5714285714285714,0.13095238095238093,0.8870587944984436,0.4633755087852478,0.0,0.2,0.46894167717834223,0.8015389001700242,0.9138680201418774,6.625739097595215
Round Arch Window,27,PN,20289663,9,27,7,42,21,2,28,0.75,0.31666666666666665,0.4935572147369385,0.3761179745197296,0.0,nan,nan,nan,nan,nan
Round Arch Window,27,Ignore,20289663,9,27,7,42,21,2,28,0.8214285714285714,0.5833333333333334,0.4983513355255127,0.45114657282829285,0.047619047619047616,nan,nan,nan,nan,nan
Round Arch Window,27,nnPU(pi=0.10),20289663,9,27,7,42,21,2,28,0.4464285714285714,0.08608058608058608,0.6847803592681885,0.16280993819236755,0.0,nan,nan,nan,nan,nan
Round Arch Window,27,nnPU(pi=0.25),20289663,9,27,7,42,21,2,28,0.5,0.09401709401709402,0.8888781070709229,0.4306127429008484,0.047619047619047616,nan,nan,nan,nan,nan
Round Arch Window,27,nnPU(pi=0.50),20289663,9,27,7,42,21,2,28,0.5892857142857143,0.11437908496732026,0.9583332538604736,0.7892565727233887,0.0,nan,nan,nan,nan,nan
Round Arch Window,27,"SA-nnPU(pi=0.25,e>=0.10)",20289663,9,27,7,42,21,2,28,0.48214285714285715,0.09126984126984126,0.8951671123504639,0.44604605436325073,0.047619047619047616,0.1,0.4773996662606793,0.7867778135744743,0.926076692771202,6.489346504211426
Round Arch Window,27,"SA-nnPU(pi=0.25,e>=0.20)",20289663,9,27,7,42,21,2,28,0.48214285714285715,0.09126984126984126,0.8951671123504639,0.44604605436325073,0.047619047619047616,0.2,0.4773996662606793,0.7867778135744743,0.926076692771202,6.489346504211426
Round Arch Window,28,PN,20290672,9,27,7,42,21,2,34,0.4117647058823529,0.06828703703703703,0.44987863302230835,0.37386584281921387,0.0,nan,nan,nan,nan,nan
Round Arch Window,28,Ignore,20290672,9,27,7,42,21,2,34,0.47058823529411764,0.07870370370370369,0.45701736211776733,0.4564859867095947,0.09523809523809523,nan,nan,nan,nan,nan
Round Arch Window,28,nnPU(pi=0.10),20290672,9,27,7,42,21,2,34,0.3088235294117647,0.05844155844155844,0.7816945314407349,0.2095140665769577,0.0,nan,nan,nan,nan,nan
Round Arch Window,28,nnPU(pi=0.25),20290672,9,27,7,42,21,2,34,0.17647058823529416,0.04976851851851852,0.8164121508598328,0.42927438020706177,0.0,nan,nan,nan,nan,nan
Round Arch Window,28,nnPU(pi=0.50),20290672,9,27,7,42,21,2,34,0.13235294117647062,0.04791666666666666,0.9002191424369812,0.7502156496047974,0.0,nan,nan,nan,nan,nan
Round Arch Window,28,"SA-nnPU(pi=0.25,e>=0.10)",20290672,9,27,7,42,21,2,34,0.17647058823529416,0.04976851851851852,0.8189677000045776,0.44275033473968506,0.0,0.1,0.45713418599817746,0.8023078471551376,0.9132391144734743,6.563922882080078
Round Arch Window,28,"SA-nnPU(pi=0.25,e>=0.20)",20290672,9,27,7,42,21,2,34,0.17647058823529416,0.04976851851851852,0.8189677000045776,0.44275033473968506,0.0,0.2,0.45713418599817746,0.8023078471551376,0.9132391144734743,6.563922882080078
Round Arch Window,29,PN,20291681,9,27,7,42,21,2,27,0.5555555555555556,0.10882352941176471,0.5119458436965942,0.37650832533836365,0.0,nan,nan,nan,nan,nan
Round Arch Window,29,Ignore,20291681,9,27,7,42,21,2,27,0.5925925925925926,0.12698412698412698,0.4961843490600586,0.46102434396743774,0.047619047619047616,nan,nan,nan,nan,nan
Round Arch Window,29,nnPU(pi=0.10),20291681,9,27,7,42,21,2,27,0.18518518518518523,0.06340579710144928,0.7928727865219116,0.1360233575105667,0.047619047619047616,nan,nan,nan,nan,nan
Round Arch Window,29,nnPU(pi=0.25),20291681,9,27,7,42,21,2,27,0.20370370370370372,0.06439393939393939,0.8870739936828613,0.4081527292728424,0.047619047619047616,nan,nan,nan,nan,nan
Round Arch Window,29,nnPU(pi=0.50),20291681,9,27,7,42,21,2,27,0.2777777777777778,0.06941176470588235,0.9726970195770264,0.8468233942985535,0.0,nan,nan,nan,nan,nan
Round Arch Window,29,"SA-nnPU(pi=0.25,e>=0.10)",20291681,9,27,7,42,21,2,27,0.18518518518518523,0.06340579710144928,0.8961949348449707,0.4347895085811615,0.047619047619047616,0.1,0.4787478671926799,0.8423981349161918,0.9220759741570393,6.475534439086914
Round Arch Window,29,"SA-nnPU(pi=0.25,e>=0.20)",20291681,9,27,7,42,21,2,27,0.18518518518518523,0.06340579710144928,0.8961949348449707,0.4347895085811615,0.047619047619047616,0.2,0.4787478671926799,0.8423981349161918,0.9220759741570393,6.475534439086914
Tracery,0,PN,20261488,8,24,6,36,18,2,29,0.9482758620689655,0.5,0.5142675638198853,0.4054124057292938,0.0,nan,nan,nan,nan,nan
Tracery,0,Ignore,20261488,8,24,6,36,18,2,29,0.9137931034482758,0.41666666666666663,0.5090981721878052,0.47536876797676086,0.05555555555555555,nan,nan,nan,nan,nan
Tracery,0,nnPU(pi=0.10),20261488,8,24,6,36,18,2,29,0.7241379310344828,0.5555555555555556,0.8564809560775757,0.21601137518882751,0.0,nan,nan,nan,nan,nan
Tracery,0,nnPU(pi=0.25),20261488,8,24,6,36,18,2,29,0.8793103448275863,0.375,0.9133015871047974,0.44186294078826904,0.0,nan,nan,nan,nan,nan
Tracery,0,nnPU(pi=0.50),20261488,8,24,6,36,18,2,29,0.9655172413793104,0.5833333333333333,0.9634175300598145,0.832690417766571,0.0,nan,nan,nan,nan,nan
Tracery,0,"SA-nnPU(pi=0.25,e>=0.10)",20261488,8,24,6,36,18,2,29,0.896551724137931,0.39285714285714285,0.9196661114692688,0.4748699367046356,0.0,0.1,0.5936276999306299,0.7730278606941419,0.8712561937619299,5.846749782562256
Tracery,0,"SA-nnPU(pi=0.25,e>=0.20)",20261488,8,24,6,36,18,2,29,0.896551724137931,0.39285714285714285,0.9196661114692688,0.4748699367046356,0.0,0.2,0.5936276999306299,0.7730278606941419,0.8712561937619299,5.846749782562256
Tracery,1,PN,20262497,8,24,6,36,18,2,37,0.8918918918918919,0.26666666666666666,0.5082305669784546,0.4044468402862549,0.0,nan,nan,nan,nan,nan
Tracery,1,Ignore,20262497,8,24,6,36,18,2,37,0.972972972972973,0.75,0.5352932214736938,0.5048189759254456,0.8333333333333334,nan,nan,nan,nan,nan
Tracery,1,nnPU(pi=0.10),20262497,8,24,6,36,18,2,37,0.45945945945945943,0.06798245614035087,0.7594914436340332,0.19242532551288605,0.0,nan,nan,nan,nan,nan
Tracery,1,nnPU(pi=0.25),20262497,8,24,6,36,18,2,37,0.7162162162162161,0.12237762237762238,0.8938312530517578,0.43846192955970764,0.05555555555555555,nan,nan,nan,nan,nan
Tracery,1,nnPU(pi=0.50),20262497,8,24,6,36,18,2,37,0.9459459459459458,0.45,0.9758206009864807,0.8727033734321594,0.0,nan,nan,nan,nan,nan
Tracery,1,"SA-nnPU(pi=0.25,e>=0.10)",20262497,8,24,6,36,18,2,37,0.7162162162162161,0.12237762237762238,0.8844066858291626,0.4141070544719696,0.05555555555555555,0.1,0.5424606897353835,0.7954402596010379,0.867095571873142,5.789613246917725
Tracery,1,"SA-nnPU(pi=0.25,e>=0.20)",20262497,8,24,6,36,18,2,37,0.7162162162162161,0.12237762237762238,0.8844066858291626,0.4141070544719696,0.05555555555555555,0.2,0.5424606897353835,0.7954402596010379,0.867095571873142,5.789613246917725
Tracery,2,PN,20263506,8,24,6,36,18,2,37,0.972972972972973,0.75,0.5558522343635559,0.42529022693634033,0.05555555555555555,nan,nan,nan,nan,nan
