label,repeat,method,split_seed,positive_count,sampled_count_total,pool_count_total,train_positive,train_reliable_negative,train_sampled,train_full_pool,eval_positive,eval_reliable_negative,sampling_probability_min,sampling_probability_median,sampling_probability_max,ipw_ess,roc_auc,average_precision,eval_positive_mean_score,full_pool_mean_score
Tracery Rose Window,0,nnPU-sampled,20262657,9,30,796,7,42,28,595,2,37,0.01448978204280138,0.04668419063091278,0.06454557925462723,21.13836097717285,0.9189189189189189,0.3333333333333333,0.6761423349380493,0.32193809747695923
Tracery Rose Window,0,IPW-nnPU,20262657,9,30,796,7,42,28,595,2,37,0.01448978204280138,0.04668419063091278,0.06454557925462723,21.13836097717285,0.9054054054054055,0.30952380952380953,0.5632970333099365,0.2498604953289032
Tracery Rose Window,0,FullPool-nnPU,20262657,9,30,796,7,42,28,595,2,37,0.01448978204280138,0.04668419063091278,0.06454557925462723,21.13836097717285,0.9189189189189189,0.3333333333333333,0.6739521622657776,0.31275635957717896
Triangular Pediment,0,PN-sampled,20262693,8,25,696,6,36,18,536,2,39,0.020210199058055878,0.03653852641582489,0.08106998354196548,16.36384391784668,0.9487179487179488,0.45,0.5051866769790649,0.428332656621933
Triangular Pediment,0,Ignore,20262693,8,25,696,6,36,18,536,2,39,0.020210199058055878,0.03653852641582489,0.08106998354196548,16.36384391784668,0.9743589743589743,0.5833333333333333,0.5600928068161011,0.5040696263313293
Triangular Pediment,0,nnPU-sampled,20262693,8,25,696,6,36,18,536,2,39,0.020210199058055878,0.03653852641582489,0.08106998354196548,16.36384391784668,0.3589743589743589,0.05964912280701754,0.5974505543708801,0.46265700459480286
Triangular Pediment,0,IPW-nnPU,20262693,8,25,696,6,36,18,536,2,39,0.020210199058055878,0.03653852641582489,0.08106998354196548,16.36384391784668,0.33333333333333337,0.05689102564102564,0.48532283306121826,0.3788796365261078
Triangular Pediment,0,FullPool-nnPU,20262693,8,25,696,6,36,18,536,2,39,0.020210199058055878,0.03653852641582489,0.08106998354196548,16.36384391784668,0.47435897435897434,0.09027777777777778,0.6656792163848877,0.44208240509033203
Wimperg,0,PN-sampled,20261489,8,23,771,6,36,18,590,2,28,0.020745504647493362,0.02986094355583191,0.060743480920791626,16.470186233520508,0.9821428571428572,0.8333333333333333,0.5846164226531982,0.42457130551338196
Wimperg,0,Ignore,20261489,8,23,771,6,36,18,590,2,28,0.020745504647493362,0.02986094355583191,0.060743480920791626,16.470186233520508,0.9821428571428572,0.8333333333333333,0.6149236559867859,0.5042392611503601
Wimperg,0,nnPU-sampled,20261489,8,23,771,6,36,18,590,2,28,0.020745504647493362,0.02986094355583191,0.060743480920791626,16.470186233520508,0.8928571428571428,0.39285714285714285,0.7696747779846191,0.423187255859375
Wimperg,0,IPW-nnPU,20261489,8,23,771,6,36,18,590,2,28,0.020745504647493362,0.02986094355583191,0.060743480920791626,16.470186233520508,0.875,0.375,0.7645149827003479,0.42627498507499695
Wimperg,0,FullPool-nnPU,20261489,8,23,771,6,36,18,590,2,28,0.020745504647493362,0.02986094355583191,0.060743480920791626,16.470186233520508,0.9107142857142858,0.3666666666666667,0.8497231602668762,0.4031374752521515
