label,repeat,method,split_seed,positive_count,sampled_count_total,pool_count_total,train_positive,train_reliable_negative,train_sampled,train_full_pool,eval_positive,eval_reliable_negative,sampling_probability_min,sampling_probability_median,sampling_probability_max,ipw_ess,roc_auc,average_precision,eval_positive_mean_score,full_pool_mean_score
Buttress,14,Ignore,20275744,10,29,986,8,48,24,826,2,26,0.01448002364486456,0.032412342727184296,0.0712985098361969,19.75880241394043,0.46153846153846156,0.20238095238095238,0.42777156829833984,0.4587782621383667
Buttress,14,nnPU-sampled,20275744,10,29,986,8,48,24,826,2,26,0.01448002364486456,0.032412342727184296,0.0712985098361969,19.75880241394043,0.5192307692307692,0.537037037037037,0.7809924483299255,0.4085142910480499
Buttress,14,IPW-nnPU,20275744,10,29,986,8,48,24,826,2,26,0.01448002364486456,0.032412342727184296,0.0712985098361969,19.75880241394043,0.5,0.28703703703703703,0.737758219242096,0.45500636100769043
Buttress,14,FullPool-nnPU,20275744,10,29,986,8,48,24,826,2,26,0.01448002364486456,0.032412342727184296,0.0712985098361969,19.75880241394043,0.5,0.28703703703703703,0.7513007521629333,0.4183557331562042
Buttress,15,PN-sampled,20276753,10,29,986,8,48,26,785,2,40,0.015902353450655937,0.033630482852458954,0.07903637737035751,21.529830932617188,0.2375,0.046536796536796536,0.32079529762268066,0.366030752658844
Buttress,15,Ignore,20276753,10,29,986,8,48,26,785,2,40,0.015902353450655937,0.033630482852458954,0.07903637737035751,21.529830932617188,0.2375,0.046536796536796536,0.3422063887119293,0.4445222020149231
Buttress,15,nnPU-sampled,20276753,10,29,986,8,48,26,785,2,40,0.015902353450655937,0.033630482852458954,0.07903637737035751,21.529830932617188,0.2875,0.050706033376123234,0.609886884689331,0.36774319410324097
Buttress,15,IPW-nnPU,20276753,10,29,986,8,48,26,785,2,40,0.015902353450655937,0.033630482852458954,0.07903637737035751,21.529830932617188,0.16249999999999998,0.041666666666666664,0.4931841194629669,0.42490673065185547
Buttress,15,FullPool-nnPU,20276753,10,29,986,8,48,26,785,2,40,0.015902353450655937,0.033630482852458954,0.07903637737035751,21.529830932617188,0.21250000000000002,0.04439024390243902,0.6244488954544067,0.4336526095867157
Buttress,16,PN-sampled,20277762,10,29,986,8,48,23,776,2,38,0.01448002364486456,0.03142068162560463,0.0712985098361969,18.87271499633789,0.9210526315789473,0.39285714285714285,0.52674400806427,0.4095700979232788
Buttress,16,Ignore,20277762,10,29,986,8,48,23,776,2,38,0.01448002364486456,0.03142068162560463,0.0712985098361969,18.87271499633789,0.9736842105263158,0.5833333333333333,0.5082792043685913,0.4771222770214081
Buttress,16,nnPU-sampled,20277762,10,29,986,8,48,23,776,2,38,0.01448002364486456,0.03142068162560463,0.0712985098361969,18.87271499633789,0.8026315789473684,0.5588235294117647,0.957432746887207,0.519621729850769
Buttress,16,IPW-nnPU,20277762,10,29,986,8,48,23,776,2,38,0.01448002364486456,0.03142068162560463,0.0712985098361969,18.87271499633789,0.8289473684210527,0.5666666666666667,0.962442934513092,0.5299565196037292
Buttress,16,FullPool-nnPU,20277762,10,29,986,8,48,23,776,2,38,0.01448002364486456,0.03142068162560463,0.0712985098361969,18.87271499633789,0.8026315789473684,0.5588235294117647,0.951935350894928,0.43229925632476807
Buttress,17,PN-sampled,20278771,10,29,986,8,48,24,826,2,32,0.01448002364486456,0.032412342727184296,0.0712985098361969,19.75880241394043,0.5,0.5294117647058824,0.4545894265174866,0.37415623664855957
Buttress,17,Ignore,20278771,10,29,986,8,48,24,826,2,32,0.01448002364486456,0.032412342727184296,0.0712985098361969,19.75880241394043,0.5,0.5294117647058824,0.44485580921173096,0.4508174955844879
Buttress,17,nnPU-sampled,20278771,10,29,986,8,48,24,826,2,32,0.01448002364486456,0.032412342727184296,0.0712985098361969,19.75880241394043,0.546875,0.532258064516129,0.7809924483299255,0.4085142910480499
Buttress,17,IPW-nnPU,20278771,10,29,986,8,48,24,826,2,32,0.01448002364486456,0.032412342727184296,0.0712985098361969,19.75880241394043,0.515625,0.5303030303030303,0.737758219242096,0.45500636100769043
Buttress,17,FullPool-nnPU,20278771,10,29,986,8,48,24,826,2,32,0.01448002364486456,0.032412342727184296,0.0712985098361969,19.75880241394043,0.5,0.2803030303030303,0.7513007521629333,0.4183557331562042
Buttress,18,PN-sampled,20279780,10,29,986,8,48,23,823,2,27,0.01448002364486456,0.03340400382876396,0.0712985098361969,18.84047508239746,0.6481481481481481,0.5476190476190477,0.4802286624908447,0.37412288784980774
Buttress,18,Ignore,20279780,10,29,986,8,48,23,823,2,27,0.01448002364486456,0.03340400382876396,0.0712985098361969,18.84047508239746,0.8518518518518519,0.6,0.5015832781791687,0.44423484802246094
Buttress,18,nnPU-sampled,20279780,10,29,986,8,48,23,823,2,27,0.01448002364486456,0.03340400382876396,0.0712985098361969,18.84047508239746,0.5,0.2857142857142857,0.7487881183624268,0.5010486245155334
Buttress,18,IPW-nnPU,20279780,10,29,986,8,48,23,823,2,27,0.01448002364486456,0.03340400382876396,0.0712985098361969,18.84047508239746,0.5740740740740741,0.21014492753623187,0.8877469897270203,0.4826017916202545
Buttress,18,FullPool-nnPU,20279780,10,29,986,8,48,23,823,2,27,0.01448002364486456,0.03340400382876396,0.0712985098361969,18.84047508239746,0.6111111111111112,0.5434782608695652,0.8633239269256592,0.4143344461917877
Buttress,19,PN-sampled,20280789,10,29,986,8,48,25,735,2,30,0.015902353450655937,0.03340400382876396,0.07903637737035751,20.602338790893555,0.8833333333333334,0.375,0.5018556118011475,0.41373831033706665
Buttress,19,Ignore,20280789,10,29,986,8,48,25,735,2,30,0.015902353450655937,0.03340400382876396,0.07903637737035751,20.602338790893555,0.8333333333333333,0.2361111111111111,0.5033473372459412,0.4876967668533325
Buttress,19,nnPU-sampled,20280789,10,29,986,8,48,25,735,2,30,0.015902353450655937,0.03340400382876396,0.07903637737035751,20.602338790893555,0.85,0.5909090909090909,0.9467891454696655,0.5081510543823242
Buttress,19,IPW-nnPU,20280789,10,29,986,8,48,25,735,2,30,0.015902353450655937,0.03340400382876396,0.07903637737035751,20.602338790893555,0.7,0.13942307692307693,0.9351519346237183,0.5218887329101562
Buttress,19,FullPool-nnPU,20280789,10,29,986,8,48,25,735,2,30,0.015902353450655937,0.03340400382876396,0.07903637737035751,20.602338790893555,0.7,0.1625,0.9500278830528259,0.454782098531723
Buttress,20,PN-sampled,20281798,10,29,986,8,48,24,748,2,31,0.01448002364486456,0.028943398967385292,0.07903637737035751,19.22121810913086,0.967741935483871,0.5833333333333333,0.5246855616569519,0.41087186336517334
