label,repeat,method,split_seed,positive_count,sampled_count_total,train_positive,train_reliable_negative,train_candidate,selected_pseudo_positive,selection_rate,threshold_mean,vote_mean,selected_score_mean,pseudo_weight,eval_positive,eval_reliable_negative,roc_auc,average_precision,eval_positive_mean_score
Buttress,16,PositiveExpansion,20277762,10,31,8,48,25,3,0.12,0.5090303480625152,1.64,0.5275875886281332,0.25,2,38,0.9605263157894738,0.5,0.5058110952377319
Buttress,17,Ignore,20278771,10,31,8,48,26,4,0.15384615384615385,0.5378796696662903,1.4230769230769231,0.5601280927658081,0.25,2,32,0.5,0.5294117647058824,0.44485580921173096
Buttress,17,PositiveExpansion,20278771,10,31,8,48,26,4,0.15384615384615385,0.5378796696662903,1.4230769230769231,0.5601280927658081,0.25,2,32,0.5,0.5294117647058824,0.43679580092430115
Buttress,18,Ignore,20279780,10,31,8,48,26,0,0.0,0.5335399627685546,0.38461538461538464,nan,0.25,2,27,0.8518518518518519,0.6,0.5015832781791687
Buttress,18,PositiveExpansion,20279780,10,31,8,48,26,0,0.0,0.5335399627685546,0.38461538461538464,nan,0.25,2,27,0.8518518518518519,0.6,0.5015832781791687
Buttress,19,Ignore,20280789,10,31,8,48,24,7,0.2916666666666667,0.5219595074653626,2.125,0.5450882588114058,0.25,2,30,0.8333333333333333,0.2361111111111111,0.5033473372459412
Buttress,19,PositiveExpansion,20280789,10,31,8,48,24,7,0.2916666666666667,0.5219595074653626,2.125,0.5450882588114058,0.25,2,30,0.8500000000000001,0.25,0.49533772468566895
Buttress,20,Ignore,20281798,10,31,8,48,27,2,0.07407407407407407,0.5123389542102814,0.9259259259259259,0.5479718387126923,0.25,2,31,0.9516129032258065,0.5,0.5068614482879639
Buttress,20,PositiveExpansion,20281798,10,31,8,48,27,2,0.07407407407407407,0.5123389542102814,0.9259259259259259,0.5479718387126923,0.25,2,31,0.9354838709677419,0.45,0.5037635564804077
Buttress,21,Ignore,20282807,10,31,8,48,23,4,0.17391304347826086,0.5131663322448731,1.6521739130434783,0.5370331525802612,0.25,2,33,0.8787878787878788,0.26785714285714285,0.5191371440887451
Buttress,21,PositiveExpansion,20282807,10,31,8,48,23,4,0.17391304347826086,0.5131663322448731,1.6521739130434783,0.5370331525802612,0.25,2,33,0.8787878787878788,0.26666666666666666,0.5221424102783203
Buttress,22,Ignore,20283816,10,31,8,48,23,0,0.0,0.5177021324634552,0.8260869565217391,nan,0.25,2,25,0.9600000000000001,0.75,0.5161519050598145
Buttress,22,PositiveExpansion,20283816,10,31,8,48,23,0,0.0,0.5177021324634552,0.8260869565217391,nan,0.25,2,25,0.9600000000000001,0.75,0.5161519050598145
Buttress,23,Ignore,20284825,10,31,8,48,24,5,0.20833333333333334,0.5178138852119446,1.875,0.5423325061798095,0.25,2,31,0.8548387096774194,0.24285714285714285,0.5040653944015503
Buttress,23,PositiveExpansion,20284825,10,31,8,48,24,5,0.20833333333333334,0.5178138852119446,1.875,0.5423325061798095,0.25,2,31,0.8225806451612903,0.20833333333333331,0.5043330192565918
Buttress,24,Ignore,20285834,10,31,8,48,25,1,0.04,0.4971699893474579,1.08,0.5229359269142151,0.25,2,32,0.453125,0.15441176470588236,0.43757164478302
Buttress,24,PositiveExpansion,20285834,10,31,8,48,25,1,0.04,0.4971699893474579,1.08,0.5229359269142151,0.25,2,32,0.453125,0.15441176470588236,0.4357738792896271
Buttress,25,Ignore,20286843,10,31,8,48,21,1,0.047619047619047616,0.5178888142108917,0.2857142857142857,0.5412144422531128,0.25,2,46,0.9239130434782609,0.375,0.5273329615592957
Buttress,25,PositiveExpansion,20286843,10,31,8,48,21,1,0.047619047619047616,0.5178888142108917,0.2857142857142857,0.5412144422531128,0.25,2,46,0.9239130434782609,0.375,0.5251445174217224
Buttress,26,Ignore,20287852,10,31,8,48,24,0,0.0,0.5335790634155273,0.375,nan,0.25,2,30,0.9666666666666667,0.5833333333333333,0.5169788599014282
Buttress,26,PositiveExpansion,20287852,10,31,8,48,24,0,0.0,0.5335790634155273,0.375,nan,0.25,2,30,0.9666666666666667,0.5833333333333333,0.5169788599014282
Buttress,27,Ignore,20288861,10,31,8,48,23,2,0.08695652173913043,0.5216266989707947,0.782608695652174,0.5574284791946411,0.25,2,40,0.875,0.26666666666666666,0.523841381072998
Buttress,27,PositiveExpansion,20288861,10,31,8,48,23,2,0.08695652173913043,0.5216266989707947,0.782608695652174,0.5574284791946411,0.25,2,40,0.8625,0.3333333333333333,0.5258893370628357
