window_index,window_start,window_end,density,clustering,degree_gini,mean_interaction_strength,seed
9,181,200,0.4222222222222222,0.6566666666666666,0.18421052631578938,4.157894736842105,6
10,201,220,0.4444444444444444,0.6047619047619047,0.18999999999999995,3.7,6
0,1,20,0.4,0.44333333333333336,0.2777777777777777,2.5,7
1,21,40,0.3111111111111111,0.38666666666666666,0.3642857142857141,3.5,7
2,41,60,0.4888888888888889,0.6764285714285714,0.20454545454545436,2.272727272727273,7
3,61,80,0.15555555555555556,0.3833333333333333,0.5714285714285714,4.428571428571429,7
4,81,100,0.3111111111111111,0.21333333333333332,0.3285714285714285,3.7142857142857144,7
5,101,120,0.26666666666666666,0.4,0.44166666666666665,2.9166666666666665,7
6,121,140,0.26666666666666666,0.42000000000000004,0.46666666666666656,5.25,7
7,141,160,0.28888888888888886,0.4066666666666666,0.4076923076923076,3.6923076923076925,7
8,161,180,0.4444444444444444,0.7023809523809523,0.21999999999999997,3.2,7
9,181,200,0.26666666666666666,0.37666666666666665,0.4249999999999998,4.0,7
10,201,220,0.35555555555555557,0.4333333333333333,0.3062499999999999,3.75,7
0,1,20,0.5777777777777777,0.6104761904761904,0.15384615384615374,3.1923076923076925,8
1,21,40,0.4888888888888889,0.6704761904761904,0.21363636363636362,3.1363636363636362,8
2,41,60,0.6222222222222222,0.7061111111111111,0.13571428571428568,2.8214285714285716,8
3,61,80,0.4,0.63,0.2666666666666666,3.611111111111111,8
4,81,100,0.37777777777777777,0.4333333333333333,0.2647058823529411,3.6470588235294117,8
5,101,120,0.4666666666666667,0.7442857142857143,0.22380952380952368,2.9047619047619047,8
6,121,140,0.4666666666666667,0.4966666666666667,0.14761904761904754,3.5238095238095237,8
7,141,160,0.4888888888888889,0.6430952380952382,0.22272727272727266,2.5,8
8,161,180,0.5777777777777777,0.5395238095238095,0.15769230769230758,2.8461538461538463,8
9,181,200,0.5333333333333333,0.4957142857142857,0.1499999999999999,2.625,8
10,201,220,0.5777777777777777,0.599047619047619,0.18076923076923057,2.8076923076923075,8
